tweet,civic_issue
"@JonathanRKnight @silver_tulip27 Um, that would be a hell no to the fugly poker dog pants on the cruise!  Hi Jonathan, sorry I missed you ",0
I'm doing my homework. It's gosh darn hard!! ,0
definitely no vacation for me...   http://plurk.com/p/mzygb,0
'study group extraordinare' about to leave campus...some of torts outline finished-good thing-but sleepy as h*#@...will be back@ 7am ,0
"Why can't airfare go down? Or, why do I have to live in Texas!! I don't know if I'll be able to make it to Iowa. ",0
@j_stricko I found it pretty frustrating. stupid monkeys ,0
"@lenesha but Im not feeling well, mommy... ",0
"@lovebscott Nope, I'm Right Along Wit' You! ",0
so a murder? gotcha.  Cant believe it,0
@nbensalem i'm sitting at my house and i'm sooo not looking forward to my one class tomorrow. ,0
"Ordered some maternity clothes online, which came today. I got something strange I didn't order, not in my size. And stuff is missing. ",0
@citizensheep ,0
@thesage1014 I wish I could! Gotta work though ,0
@SeaGhostdesigns what happened to you on Saturday? You didnt show up... ,0
@GirlsGoneChild ,0
Can't fall asleep ,0
I have mouth ulcer  so painful to talk and eat! ,0
"@danphelan Urgh, it was just the video, and they cut the Robots part!!! ",0
my dog can't move anymore. praying that he will be okay ,0
@Kal_Penn you were pretty much my fave...not much reason to watch now ,0
@Artistbabee but tht's annoying &amp;definitely not bitchy enough  he def broke like everything in me. he prolly doesn't even kno oct. 5!,0
@mileycyrus hahaha dont be like that one time in NY when you got 30 mins of sleep then got sick  love you!!,0
@normalguyguide I can't! I have so much to learn about WWI by tomorrow at noon! ,0
New Post!  http://tinyurl.com/cexkqy,0
@graemearcher I am sad about Innocent selling out too! ,0
dang won't be able to get to any workshops run by web directions ,0
"@BenPritchett goodness me, how did you find me?? it's good to hear from you Ben! I still have your video game and book...I apologize ",0
Jap girls ? They're leaving! ,0
my poor little girl has a baaaad rash on her bum and isnt feeling good ,0
@nicolerichie yes! we had the VHS. i cried when the old man died ,0
"Argh, got up early for Girls Aloud on Freshly Squeezed and it was just the video ",0
"#travian Total cost of the atk for the aggressor: 273,310 resources all said and done. I'm guessing he's not going to let that slide. ",0
waiting for kelly's call. ,0
"mhm, not having a good day  blah blah blah",0
"@octopuseatspie I GOT THE I CAN HAS CHEZBURGER BOOK FROM THE LOBO, AND YOU ARE NOT HERE TO LOOK AT IT WIF ME ",0
"I'm trying to work on my last assignment of the year, but I just can't get that spark. All I want to do is lay in the grass and read. ",0
@robertfperez ugh of course not  Just thursday and friday..sat I have both kids,0
