,Unnamed: 0,Tweet,Date,Username,Hashtags,processedtext,category
0,0,"@BBMP_MAYOR @BBMPCOMM Sarjapur road from Decathlon till Sarjapur police station has garbage on both side of road, why is BBMP not clearing it? &amp; Sarjapur road itself is of poor quality, the contractor has done poor quality job, Shameful!! @CMofKarnataka",2020-01-31 17:16:38+00:00,shroff_bhavesh,,bbmp mayor bbmpcomm sarjapur road decathlon till sarjapur polic station garbag side road bbmp clear amp sarjapur road poor qualiti contractor done poor qualiti job shame cmofkarnataka,Waste/Garbage
1,1,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,the futur get readi galaxyzfold phone design chang shape futur which featur excit regist http bit ly yqhu b samsung,Waste/Garbage
2,2,"Not only this, the burning of garbage and waste happens all time. Due to this we residents staying in and around VISL Lyt, Mantri Lake View area breathe Poisonous air. @BBMP_MAYOR @BBMPCOMM @hemmigepura @_kanakapuraroad @Kanakapura_Road act on this at the earliest @CPCB_OFFICIAL",2020-01-31 17:12:40+00:00,Sudhindrakul1,,not burn garbag wast happen time due resid stay around visl lyt mantri lake view area breath poison air bbmp mayor bbmpcomm hemmigepura kanakapuraroad kanakapura road act earliest cpcb offici,Air
3,3,"@Tejasvi_Surya @CMofKarnataka @narendramodi Mr. CM, Blore has become Dust Bin, with garbage everywhere, why is BBMP not working? BJP's swachata abhiyan is weakest in Blore, what are you doing? Come out of your car and hit the ground zero sir!! @BBMP_MAYOR @BBMPCOMM",2020-01-31 17:11:38+00:00,shroff_bhavesh,,tejasvi surya cmofkarnataka narendramodi mr cm blore becom dust bin garbag everywher bbmp work bjp swachata abhiyan weakest blore come car hit ground zero sir bbmp mayor bbmpcomm,Waste/Garbage
4,4,But residents are equally responsible here. Residents throw the garbage and plastic on road wherever they want to. It is going to affect them as well.,2020-01-31 13:23:51+00:00,Maheshkumar891,,but resid equal respons resid throw garbag plastic road wherev want it go affect well,Waste/Garbage
5,5,"@SampathRajR @BBMP_MAYOR Greetings Sir , would like to draw to your kind attn that we are facing a major garbage problem at Hall Road , Richards Town. The area around our apartment building is turning into a black spot. Kindly look into the matter.Pic for your perusal below. ",2020-01-31 13:20:23+00:00,Fazal_Twt,,sampathrajr bbmp mayor greet sir would like draw kind attn face major garbag problem hall road richard town the area around apart build turn black spot kindli look matter pic perus,Waste/Garbage
6,6,"thank you, they are repetitive offenders, can you please take some action on them. as it as become there garbage dumping place, they dont give garbage to collectors, as they have to segregate dry from wet waste. we cant complain everytime.",2020-01-31 13:15:45+00:00,Shashik52259897,,thank repetit offend pleas take action becom garbag dump place dont give garbag collector segreg dri wet wast cant complain everytim,Waste/Garbage
7,7,"Is there any 1 good road left in blr to travel without potholes , mud and garbage",2020-01-31 12:48:56+00:00,jiggscool,,is good road left blr travel without pothol mud garbag,Potholes
8,8,The garbage has been cleared. We request citizens not to litter the public spaces and join hands with #BBMP to keep our city clean. #SwachhSurvekshan2020Bengaluru #NammaOoruSwachhaBengaluru #Bengaluru,2020-01-31 12:34:00+00:00,BBMPSWMSplComm,#BBMP #SwachhSurvekshan2020Bengaluru #NammaOoruSwachhaBengaluru #Bengaluru,the garbag clear we request citizen litter public space join hand bbmp keep citi clean swachhsurvekshan bengaluru nammaooruswachhabengaluru bengaluru,Waste/Garbage
9,9,"Dear Mayor, I have participated. But not given good marks. Garbage burning, debris , insufficient public toilets, existing ones stinking, bad adour from storm water drain in Nagarbhavi, unsafe road dividers, no road sweepings. Contd ..1/2",2020-01-31 12:22:31+00:00,MABUGANE,,dear mayor i particip but given good mark garbag burn debri insuffici public toilet exist one stink bad adour storm water drain nagarbhavi unsaf road divid road sweep contd,Waste/Garbage
10,10,"Ha Ha Ha. Is that Bus shelter appearing clean? By the way, Sir, Please clean up the Republic of Banaswadi, Ward 27. Help us from stray dogs, open defecation, garbage burning and clearance of open points of garbage disposal.",2020-01-31 12:00:18+00:00,Pushkar1703,,ha ha ha is bu shelter appear clean by way sir pleas clean republ banaswadi ward help us stray dog open defec garbag burn clearanc open point garbag dispos,Waste/Garbage
11,11,"@BBMP_MAYOR @BBMPSWMSplComm @BBMPSWMJtComm facing lot of garbage issues in Chikkalasandra main road, Ramanjanaya nagar. No dustbin in the area leading to dumping in footpath,stray dogs are increasing.Sanitary pads also in street due to this dog. Plz respond before it's tool late.",2020-01-31 11:33:02+00:00,Sagar25879115,,bbmp mayor bbmpswmsplcomm bbmpswmjtcomm face lot garbag issu chikkalasandra main road ramanjanaya nagar no dustbin area lead dump footpath stray dog increas sanitari pad also street due dog plz respond tool late,Waste/Garbage
