Unnamed: 0,Tweet,Date,Username,Hashtags,Category
0,You can't clean Bangalore as there's no proper planning for atleat 3 years in a locality. You asphalt a road & within 6 to 9 months the roads are dug by bwssb / cable. First talk to your engineers on this.,2020-01-31 17:25:11+00:00,mahesh3028,,Water
1,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,Water
2,"@bwssbchairman @chairmanbwssb @BBMPCOMM @PCMohanMP @Tejasvi_Surya This is shubh enclave from 1 year , bwssb has broken all the roads..Left the material and dust hills....Is this the condition you do the work and leave. #Bengaluru #bwssb #BBMP @BangaloreMirror @BellandurJothge",2020-01-31 17:04:19+00:00,rajmalhotrasid,#Bengaluru #bwssb #BBMP,Water
3,"Dy cm sir, basic steps- till metro stop new offices on orr, ask tech parks fund under /over passes, staggered exits using lights, stopping corrupt useless while topping, controlling ending wild bwssb digging by FIXED schedule n monitoring. They just dig n leave dusty rds 4 years",2020-01-31 16:17:24+00:00,Viswana70378552,,Water
4,"#BWSSB has developed patented tech for self -repairing roads. 2nd Main Road, R.K. Layout stage 1, Padmanabhanagar dug up weeks ago and covered up with mud. Now getting automatically repaired by the memory-road tech. Congratulations, @bwssbchairman. @citizenmatters please promote",2020-01-31 16:17:06+00:00,SelfDoubtist,#BWSSB,Water
5,"Dear @BBMP_MAYOR there are still some undug roads in indiranagar, please dig them up soon. We love the village life feeling and the traffic jams caused by humps and ditches created after the BWSSB work. #BBMP @BangaloreMirror @icindngr",2020-01-31 14:55:16+00:00,NehaaMittal,#BBMP,Water
6,This road is freshly done today. Let's see how long it takes for someone to dig it up. My money is on bwssb.@BBMPCOMM @chairmanbwssb,2020-01-31 14:45:40+00:00,abezack,,Water
7,"@chairmanbwssb Tushar sir,you always responded positively to our cry unfortunately onground unprofessional @lntenc is still killing No accountability from BWSSB in #Bellandur why? Chk attach &amp; below. https://www.youtube.com/playlist?list=PLB-Hd_7yuTYnvI0XPlVSS7FLljLK8ANAv @shypk,#MoteraStadium easy not basic Road,UGD? @BSYBJP – at Owner's Court",2020-01-31 14:40:26+00:00,kdevforum,#Bellandur #MoteraStadium,Water
8,Board exams hv started and state govt has also started helping students by such activities and irresponsible acts of govt officials and engineers of BWSSB and BESCOM,2020-01-31 14:31:04+00:00,Navneet11659347,,Water
9,"@onlineBESCOM ,@mdbescom ,@PiyushGoyal ,@BSYBJP Dear Sirs 4days back BWSSB started digging outside our aptt. Damaged the GAIL pipeline &amp; power cable. 4 days Beacon has not restored power to aptt. Kindly help. Sri Emerald park, Maratahalli, Bangalore. Modiji will be proud of CM",2020-01-31 14:31:03+00:00,Navneet11659347,,Water
10,"@BBMPCOMM bbmp toilet situation next to jyoti nivas college, swim and use, now the blame goes to bwssb ",2020-01-31 12:02:21+00:00,gopi_hegde,,Water
11,"3/3 if this situation, I dread to think what happens when Major Roads takes up laying of BWSSB piplines - drinking &amp; sewage in a bid to do Whitetopping! @chairmanbwssb @bwssbdirector @BBMPCOMM @BBMP_MAYOR",2020-01-31 11:47:20+00:00,Kora_prapancha,,Water
12,"2/3 When the AEE of Bwssb was contacted - his response was ""There was no complaint filed by public passing by"" @chairmanbwssb @bwssbdirector @BBMPCOMM @BBMP_MAYOR",2020-01-31 11:39:01+00:00,Kora_prapancha,,Water
13,@chairmanbwssb 1/3 Most of Koramangala has been experiencing severe water shortage for the last couple of days now we find that BWSSB Pipeline has been damaged during white topping(?) This is at the Aishwarya Junction on 80' road. @BBMPCOMM @BBMP_MAYOR @bwssbdirector,2020-01-31 11:36:30+00:00,Kora_prapancha,,Water
14,#BBMP #BWSSB WAKE UP!!!!!@nitin_gadkari @CMofKarnataka @narendramodi KINDLY INTERVENE!,2020-01-31 09:04:36+00:00,nehasippy,#BBMP #BWSSB,Water
15,Called bwssb helpline. Vidya of helpline had no clue. She gsve Engg Raghavendra no 9740984174. He does not bother to pick the call at all Meanwhile status of the road remains same. What an apathy !!! @BBMP_MAYOR @BBMPCOMM @nitin_gadkari @bwssbdirector @bwssbchairman @bbmpcommr,2020-01-31 08:54:14+00:00,bnithin123,,Water
16,Request BWSSB to Please do take some action immediately and help the ward 25 people to have a healthy and safe life.,2020-01-31 08:49:08+00:00,JohnathanSindhu,,Water
17,"Attention BWSSB, this is to bring to your kind notice that the road strech from Babusaplaya to Horamavu Agara has been taken for granted from BWSSB. All the works on these roads are incomplete with UGD and hence BBMP is unable to help us lay roads for public transportation.",2020-01-31 08:49:07+00:00,JohnathanSindhu,,Water
18,"If consider Since 2000,Amount investd by #BBMP,#BWSSB,@CMofKarnataka Nd2 made Blr #Singapore 3times. After SoMuch investmnts2 #Bengaluru gt ths credit due2- Most projects nvr hv true concern wrt Permanent #Infrastructure&amp;plans designed r contractors,engineers&amp;politicians friendly",2020-01-31 07:56:22+00:00,SridharDPS,#BBMP #BWSSB #Singapore #Bengaluru #Infrastructure,Water
19,BWSSB &amp; BBMP in a joint venture is mining gold in TCPalya roads since one year..as a resident i seek an update from @chairmanbwssb @BBMPCOMM @BBMP_MAYOR on findings !,2020-01-31 07:04:38+00:00,Harsha_sg,,Water
20,"Specking in bbmp council regarding bwssb water problem’s in domlur Ward, scraped cars parked in roads, bescom damaged poles. First time New names and boards for doopanahalli .sri pc mohan sir Mp wishing me as a appeal committee chairman @PCMohanMP @nalinkateel @BJP4Karnataka",2020-01-31 01:12:32+00:00,CrGundanna,,Water
21,"By the time your Govt implements this,we would have retired from our job.Keep this plan for next generation. Is there any accountability in GOK,BBMP,BDA,BMRCL,BESCOM,BWSSB, BTP &amp; other agencies?Absolutely no.BSY had assured within 4 months Blr will change, its already 7 months",2020-01-30 18:54:35+00:00,PK_Chiguru,,Water
22,"Ladies and Gents, the wait is finally over! I present to you my EP #REALMS dropping in less than 48hours!! Pre-add/pre-save link here https://music.empi.re/realms #RealmsEP",2020-09-08 17:08:59+00:00,wandecoal,#REALMS #RealmsEP,Water
23,"If you have the expertise, plz join the Mahadevapura task force and let us work with BWSSB and implement your ideas.",2020-01-30 17:01:28+00:00,MtfRoads,,Water
24,"Problem is every work that these orgs do are out of sync. After #BBMP laying roads, within a month #BWSSB dig up to either find a long lost pipe line or an I'll.planned drain under that new road or #BESCOM will make sure to draw cables on the newly laid road.",2020-01-30 17:01:19+00:00,jiboyv,#BBMP #BWSSB #BESCOM,Water
25,"Thanks for the number sir., However, this is a concern for Bengaluru. BBMP doesn’t talk to BWSSB/BESCOM. They dig road, they pollute road with sewage and BBMP cannot speak out.. @Tejasvi_Surya @CMofKarnataka can’t we merg these 3 and get it under one roof..!!? For betterment",2020-01-30 15:09:25+00:00,praveenbhat8086,,Water
26,"@deepolice12 Respected Sir, Myself Shreyas from Vidyaranyapura. Our residence comes under Kodigehalli Police Station. We have issue with our builder Nagaraj Reddy where he ran away without providing the BWSSB, BESCOM clearance for DG and Lift. We met PSI of Kodigehalli station",2020-01-30 15:01:32+00:00,C_A_Shreyas,,Water
27,"@chairmanbwssb Sir unable to fetch bills online. Can some resolution b carried out. On many occasions previously, same issue persisted till last day of payment. Only solution was; go to Bangalore One to pay as bwssb kiosk at MNP park isn't functional at times",2020-01-30 14:15:28+00:00,Richard48699844,,Water
