description,category,civic_issue
Garbage behind the temple,Waste/Garbage,1
Air pollution,Air,1
Air pollution in hebbal,Air,1
Garbage is dumped near BES,Waste/Garbage,1
Leaf and garbage burning on Shakthi Ganapathi temple premises. No action taken despite complaints.,Air,1
There is a lot of garbage dump in and around this area where lots of small petty shops and food carts are located. Disposable paper cups are thrown here and they find their way into storm water drains,Waste/Garbage,1
Replace broken streetlight. Complaint #5 about the same,Streetlights,1
Red Matiz parked on the footpath for more than 6 months. No action by police despite repeated requests.,Traffic/Parking,1
Cars have been using the footpath as a parking space everyday for over a year. No place for pedestrians. Damaging the footpath. No action taken by police.,Traffic/Parking,1
Congestion everyday and at all times due to improper roads and construction ,Traffic/Parking,1
Congestiom everyday and all the time due to improper roads and construction,Traffic/Parking,1
Congestion due to construction and small mud roads,Traffic/Parking,1
Garbage dumped,Waste/Garbage,1
Traffic jam at all times due to construction and small mud roads ,Traffic/Parking,1
No parking sign has been placed but vehicles are parked,Traffic/Parking,1
Due to construction and small mud road,Traffic/Parking,1
Flies and rodents can be seen,Waste/Garbage,1
Garbage dumped,Waste/Garbage,1
"Ads are stuck theyre not coming out even if we try
We called them and asked them to remove it but they still havent",Streetlights,1
Cables are hanging with open loose ends,Streetlights,1
Bus parked wrongly blocking vehicles and creating traffic,Traffic/Parking,1
Waste dumped at the side of the road,Waste/Garbage,1
Garbade dumped infront of house and not cleared for days,Waste/Garbage,1
Segregation is not happening in the street ,Waste/Garbage,1
Garbage is not disposed properly,Waste/Garbage,1
Segregation has to be encouraged. ,Waste/Garbage,1
Cars always parked infront of no parking sign,Traffic/Parking,1
Open sewage,Sewage,1
Garbage including old cars dumped,Waste/Garbage,1
Traffic traffic,Traffic/Parking,1
Garbage dump. Near electric pole,Waste/Garbage,1
"Open drain, stinks",Sewage,1
There is an unused old car also apart from garbage,Waste/Garbage,1
Garbage piled and not cleared,Waste/Garbage,1
"""River"" that has become garbage dump",Sewage,1
"""River"" has become garbage dump",Sewage,1
Garbage in empty lot,Waste/Garbage,1
Old car etc dumped,Waste/Garbage,1
Filled with garbage,Sewage,1
Garbage was set on fire also,Waste/Garbage,1
Vehicles parking infront of sign,Traffic/Parking,1
Broken bricks and garbage,Waste/Garbage,1
Sign board fallen and rusted,Waste/Garbage,1
Garbage and a make shift abandoned house also constructed in land,Waste/Garbage,1
Vehicles parked always here,Traffic/Parking,1
Waste overflowing from empty site,Waste/Garbage,1
Vehicles parked in no parking zone always,Traffic/Parking,1
Garbage dumped the whole stretch,Waste/Garbage,1
Garbage dumped at the corner of the road,Waste/Garbage,1
Roadside trash not cleared,Waste/Garbage,1
Site filled with garbage,Waste/Garbage,1
Open wire,Streetlights,1
Cables hanging,Streetlights,1
Trash on street,Waste/Garbage,1
Empty site has garbage,Waste/Garbage,1
Vehicles parked 24/7,Traffic/Parking,1
Garbage dump on street side,Waste/Garbage,1
Garbage thrown near ssmrv college,Waste/Garbage,1
Garbage dump near Jana bank,Waste/Garbage,1
Garbage is being dumped near the sbi branch Indra nagar,Waste/Garbage,1
Garbage is been dumped,Waste/Garbage,1
High pollution in the araa,Air,1
Open manhole dangerous at nights,Potholes,1
Street is dark,Electricity,1
Garbage strewn on street,Waste/Garbage,1
Garbage in empty site,Waste/Garbage,1
Sign has fallen,Potholes,1
Wrong parking always,Traffic/Parking,1
Wrong parking always,Traffic/Parking,1
Wrong parking always,Traffic/Parking,1
Parking on footpath always,Traffic/Parking,1
Infront of parking sign,Traffic/Parking,1
Parking on footpath,Traffic/Parking,1
Infront of no parking.. when there is paid parking right next to that,Traffic/Parking,1
Poster on tree,Streetlights,1
Parking on footpath,Traffic/Parking,1
Scooters parked on footpath,Traffic/Parking,1
No parking sign,Traffic/Parking,1
Infront of no parking sign,Traffic/Parking,1
Garbage collection hasn’t been removed,Waste/Garbage,1
Parking on footpath,Traffic/Parking,1
Dirty unclean gutters with rats on it,Sewage,1
Dangerous pothole at turning,Potholes,1
Pothole,Potholes,1
Cars parked on footpath,Traffic/Parking,1
Cars impounded at police station are parked on street,Traffic/Parking,1
Parking scooters on footpath always,Traffic/Parking,1
Has not been cleared or removed,Waste/Garbage,1
Debris,Waste/Garbage,1
Debris,Waste/Garbage,1
Long pothole along the road,Potholes,1
Many potholes along this stretch of road,Potholes,1
Buses parked infront of no parking sign.. three or four signs along this stretch of road,Traffic/Parking,1
Garbage dumped at side of road,Waste/Garbage,1
Burning garbage near bsnl office,Waste/Garbage,1
Garbage dumped on both sides of the road,Waste/Garbage,1
Garbage dumped in vacant site,Waste/Garbage,1
Uneven pothole across the road.. scooters skid a lot,Potholes,1
Garbage truck filled with garbage parked with no driver ,Waste/Garbage,1
Garbage dumped on street,Waste/Garbage,1
Garbage dumped on pavement,Waste/Garbage,1
Manhole open on footpath,Potholes,1
Garbage dumped in an empty site and burnt,Waste/Garbage,1
Street light is not working,Streetlights,1
Garbage dumped opposite to HSBC bank blocking footpath,Waste/Garbage,1
Grabage dumped out side shantipark on footpath ,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
Waste dumping in the middle of the residential area,Waste/Garbage,1
There are 2-3 spots near RV college which are on the verge of becoming a dump yard. It should be look immediately and proper bio and recycle bins should be kept here.,Waste/Garbage,1
There is a ban on single use of plastic from 1 year now but still every shop keeper is using it specially the vegetable vendors. The only solution is we seize the factory which are producing this,Waste/Garbage,1
Garbage dumps all over either side of the road. Not cleaned or taken care of.,Waste/Garbage,1
Garbage dumps on either side of the road. Not cleaned,Waste/Garbage,1
Garbage dumped again in front of the temple,Waste/Garbage,1
Coconut branch on side of road,Waste/Garbage,1
There are many spots across Jayanagar where leaflets are lying for days. It is now slowly getting converted into dumpyard,Waste/Garbage,1
People throw waste here next to bus stop,Waste/Garbage,1
Open drainage. ,Sewage,1
Open drainage,Sewage,1
"Frequent garbage burning outside my home, when no one is home. Causes heavy air pollution and difficulty breathing for everyone in an already traffic heavy road.",Air,1
Garbage thrown on the side of the road,Waste/Garbage,1
Garbage dumped on side of road,Waste/Garbage,1
"Dead fish,  very smelly",Waste/Garbage,1
Dangling of wire on footpath,Streetlights,1
Just came across this heap of junk on my way. Nobody seems to care and people around are fine and living with it ,Waste/Garbage,1
Garbage bin overfilled,Waste/Garbage,1
Garbage dumped on side of road.  Burning happening on other side.,Waste/Garbage,1
Blackspot inside the park where Gandhi statue is there.,Waste/Garbage,1
Overflowing dustbin and garbage dump,Waste/Garbage,1
Blackspot not cleaned. Construction waste,Waste/Garbage,1
Large garbage mounds being burnt here causing a lot for air pollution.,Air,1
People throwing Garbage,Waste/Garbage,1
"In the recently constructed tendersure footpath, spending crores of rupees, the footpath is encroached by watermelon and fruit vendor. Not even an inch of space exists.

Please help clear.",Traffic/Parking,1
Recently constructed tendersure footpath is used by shops as parking lot in the stretch between modi hospital and Shankar mutt bus stop.,Traffic/Parking,1
"Recently constructed tendersure footpath is used by shops as parking lot in the stretch between modi hospital and Shankar mutt bus stop. Have complained several times to BTP on Facebook, but no use.",Traffic/Parking,1
Leaking sewage down the road. Drain is blocked.,Sewage,1
"This junction is heavily congested every evening between 6-8:30pm. No lane rules are followed, people drive in opposite lane and there is merging traffic.",Traffic/Parking,1
Road has around 6-7 pothole together.,Potholes,1
Garbage is dumped on this empty land. This is often burned causing lot of pollution . I opened a BBMP sahaya complaint 10828803 complaint closed as resolved without any action,Waste/Garbage,1
Waste inside the tree planter,Waste/Garbage,1
Garbage dumping on footpath,Waste/Garbage,1
Sewage leaking down the road. Very bad smell.,Sewage,1
Text text,Electricity,1
Garbage dump on empty vacant plot and serves as ground for open defecation and urination,Waste/Garbage,1
Wires dangling near to the tree,Streetlights,1
Garbage dump on side of road.  People also throwing home garbage here,Waste/Garbage,1
Garbage dump on side of road by residents,Waste/Garbage,1
Dumped outside BBMP park entrance,Waste/Garbage,1
Garbage dump in empty plot near micro arekere layout,Waste/Garbage,1
Garbage dumping. Health hazard to residents,Waste/Garbage,1
Garbage dump adjacent to Kplay schools,Waste/Garbage,1
Street light not working since 3 months. BBMP sahaya complaint no 10823530 was raised on jan 16 closed and updated resolved without actually resolving the issues.,Streetlights,1
"1. Garbage dump not picked by BBMP workers.
2. The truck is also empty and near to dump area.
3. It causes air pollution as waste is mixed.",Waste/Garbage,1
Garbage dump near metro construction in main roads,Waste/Garbage,1
Burning of garbage dump,Air,1
Garbage burning causing lot of air pollution on an already traffic heavy road.,Air,1
Garbage,Waste/Garbage,1
"Parking in places where people sit, in front of building, cleaning vehicle and letting sewage water, foul smell",Traffic/Parking,1
"Here, a trash bin is present, around which waste, which mainly  consists of plastic, is strewn all around. Cows feed on this plastic which could lead to problems. This also causes distress to people.",Waste/Garbage,1
Garbage,Waste/Garbage,1
Tree fell down,Air,1
Tree has fallen. Blocked the entire 20th main,Traffic/Parking,1
Tree clearance from the road. Blocking the road.,Waste/Garbage,1
Garbage burning causing excessive pollution on an already traffic heavy road.,Air,1
"Here, a trash bin used to be there earlier, after which it had been removed. People, who don't have any other go as the bin had been removed, have started dumping garbage on the ground.",Waste/Garbage,1
Dump near Play school,Waste/Garbage,1
"Dangerous manhole,  risk to life",Potholes,1
Garbage dump under the railway bridge.,Waste/Garbage,1
"Very poor and no cleaning 
",Air,1
In this area have two dustbin.in two also have a big hole.please solve this problem ,Waste/Garbage,1
There’s an empty site with lot of garbage,Waste/Garbage,1
There is a sewer lane under our house it doesn’t smell but has lots of plastic bags . Once a dog got a plastic  cover around its neck we got it removed by a rescuer ,Sewage,1
Garbage being dumped and burnt in the plot near the bus stop. People from bus stop and people living on the other side dumping garbage here.,Waste/Garbage,1
Its an open dump on the intersection of a residential area.,Waste/Garbage,1
Garbage burning causing heavy air pollution around here,Air,1
There's a garbage dump in open area.,Waste/Garbage,1
"Wires and cables dangling in the junction, near the turning towards 20th main road.",Streetlights,1
Garbage dump,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
Dumping of garbage and burning,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
Garbage dump on the road near to park,Waste/Garbage,1
The sign board ahead of 33rd A cross road Jayanagar has fallen down onto the road. It poses a threat to vehicles turning in and out of the by Lane.,Potholes,1
Streetlights not working in 33rd A crossroad. The street remains comparitively dark in the late hours of the day due various streetlights not functioning properly including the one reported,Streetlights,1
Street light is not working for 5 months now,Streetlights,1
Street light not working for 8 months,Streetlights,1
"The wires of the electric line is hanging down from the post and is simply hung around a tree. As it is in the footpath, it is not very safe for the pedestrians.",Electricity,1
There is a lot of fluctuation in voltage during morning hours.,Water,1
There are a lot of weeds being grown in the lake. Last year it was full of water.,Water,1
"There are no street lights in our layout. During the night, it becomes very difficult to walk",Streetlights,1
There are a lot of potholes in my locality roads. It makes the commuters pass through a difficult ride. There were minor accidents due to the bad roads .Hence I request that the repairs be taken.,Potholes,1
"There are no streetlights on the ESI ring road,leading to our locality The newcomers find it difficult to move through during night times",Streetlights,1
Street light not functional,Streetlights,1
Streetlight not working,Streetlights,1
Streetlight not working,Streetlights,1
"In our locality there are many potholes like this.
",Potholes,1
"There is a lot of potholes in a area called arasanatti,Hosur.It also causes minor accidents . We want these pot holes to be fixed.",Potholes,1
Feels irritating,Streetlights,1
Garbage dump near YFP painted wall. Sometimes gets cleared. Not permanent. Garbage spreads everywhere on the road.,Waste/Garbage,1
Burning of garbage next to road causing air pollution. Smoke all over the area at the signal. Burning plastic covers and fallen wood.,Air,1
Right next to. Mall and bus stop. It's smelly and a repeated problem,Waste/Garbage,1
Garden wASTE has been dumped ,Waste/Garbage,1
Garbage is dumped ,Waste/Garbage,1
Garbage on footpath,Waste/Garbage,1
Streetlight not working,Streetlights,1
Streetlight not working,Streetlights,1
Streetlight not working,Streetlights,1
Streetlight not working ,Streetlights,1
Streetlight not working ,Streetlights,1
Street lights not working,Streetlights,1
Street lights not working,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
In led panel only 2 led is working out of 18 leds ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Streetlight is not working ,Streetlights,1
Garbage being dumped on the road,Waste/Garbage,1
The garbage bin has been removed which makes people to dump the garbage in that open place,Waste/Garbage,1
People are burning waste and we can smell it,Air,1
Tree covered with unwanted cables. Unsafe to walk or stand. Waiting area for few people.,Streetlights,1
Garbage dumpex,Waste/Garbage,1
Streetlight is not working,Streetlights,1
The car is parked in the turning of the road,Traffic/Parking,1
Tap is leaking,Water,1
Garbage dumping near vehicle parking area. Very smelly and unhealthy for frequent users,Waste/Garbage,1
Garbage thrown next to park,Waste/Garbage,1
