Unnamed: 0,Tweet,Date,Username,Hashtags,Category
0,#KarnatakaHC says approach adopted by BBMP and its commissiner in the potholes case is frustrating.@TOIBengaluru,2020-01-31 17:38:10+00:00,PvasanthaTOI,#KarnatakaHC,Pothole
1,Pay your #WaterBill easily &amp; instantly with #AirtelPaymentsBank. Download the #airtelThanks App today!,2020-09-09 05:25:59+00:00,airtelbank,#WaterBill #AirtelPaymentsBank #airtelThanks,Pothole
2,"Is there any 1 good road left in blr to travel without potholes , mud and garbage",2020-01-31 12:48:56+00:00,jiggscool,,Pothole
3,You forgot include the line. We cut BESCOM'S cables so that people can leave in darkness 24x7. Also BBMP and BESCOM are so hopeless that the roads are filled with potholes and now Bangalore is worse than an African forest in terms or roads and electricity. This was most imp,2020-01-31 12:28:26+00:00,himanshuH3,,Pothole
4,"@BBMP_MAYOR Sir, there is actually small piece of road left between vijaya bank layout and bommanahalli via kodichikkanahalli. Commuter's life is hell. Road is full of humps and potholes. Ministers and corporaters and sleeping. Pls do something.",2020-01-30 16:13:28+00:00,nandan_hk,,Pothole
5,"Why residents have to do all work?? Residents have to pay tax Residents have to suffer potholes Residents have to suffer sewage smells Residents have to suffer water mafias Residents have to tackle traffic BBMP just sleep nd if once in blue they make 100m road, do inauguration!",2020-01-30 15:04:13+00:00,DhondhuChilled,,Pothole
6,@BBMPCOMM @BBMP_MAYOR @ArvindLBJP @PCMohanMP When will we get potholes/dust free road between ITPL to Hope farm in Whitefield? Just try to commute in this road by two wheeler to have the reality check. Sincere request to get this road commutable at the earliest.,2020-01-30 14:19:07+00:00,KeshavaP76,,Pothole
7,"Hebbal circle [Below the flyover], it is worse, roads have pathetic potholes. Roads are uneven. Patchwork is very bad. Dear sir @BBMPCOMM @BBMP_MAYOR , you travel in AC cars. I don't know will it make sense by bringing up the problem to you. I hope it will be solved. #Bengaluru",2020-01-30 13:38:25+00:00,nth_citizen,#Bengaluru,Pothole
8,Can we have a snapshot of number of potholes that remain to be filled? Lost count of it.,2020-01-30 12:42:16+00:00,rammohanpsumeru,,Pothole
9,"@BBMPCOMM any fine on the garbage contractor, concerned BBMP engineer/health inspector for not clearing garbage? Fine on concerned engineer for not filling potholes n risking public lives? @Randeep_Dev @BBMP_MAYOR @mani1972ias @Nithya_Mandyam @CMofKarnataka",2020-01-30 09:09:29+00:00,nikhil_s23,,Pothole
