Unnamed: 0,Tweet,Date,Username,Hashtags,Category
0,Certainly not sanitation if the toilets in the Arthur are anything to go by...,2020-01-31 21:17:25+00:00,IanWaghorn,,Sanitation
1,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,Sanitation
2,"No they don’t! All infectious “disease,” including those still without vaccines, had already reduced 95-98% BEFORE the creation of any vaccines. You can thank the REAL solutions; Improvements in modern hygiene, and modern infrastructure like plumbing (toilets!) and sanitation. ",2020-01-31 19:37:55+00:00,Anti_Freedumbs,,Sanitation
3,"We have it too and I’ve thought hard and well. People unfamiliar of the certain way of using washroom use it the natural way but may be unaware. Weird but true. Considering how a large number of people with sanitation and toilets, this maybe helpful.",2020-01-31 17:46:23+00:00,ndyagif,,Sanitation
4,Loowatt presenting and the @changeNOWsummit in Paris. Such an amazing energy at the event! #sanitation #SDGs #water #flushwithhappiness #toilets #ChangeNOW2020,2020-01-31 17:15:05+00:00,loowatt,#sanitation #SDGs #water #flushwithhappiness #toilets #ChangeNOW2020,Sanitation
5,Happy Friday! Want something fun and light-hearted to watch before the weekend? You may get a kick of this video about how to keep snakes - and other critters - out of your #toilet. #tgif #toiletnews #sanitation #environment #animals,2020-01-31 17:10:12+00:00,flush_wash,#toilet #tgif #toiletnews #sanitation #environment #animals,Sanitation
6,"SUPPORT BETTER TOILETS: The Economic &amp; Social Research Council shared a video discussing how better sanitation efforts can lead to ""Better Lives"". #WASH #scooponpoop #wishforwash #everybodypoops https://buff.ly/2tXgPow",2020-01-31 17:00:34+00:00,WishforWASH,#WASH #scooponpoop #wishforwash #everybodypoops,Sanitation
7,Automatic public toilet next to City Hall in downtown #ATL. We need about 50 more of these if we’re going to solve our urban sanitation crisis - a symptom of much bigger problems. ⁦@DrewCapone91⁩,2020-01-31 16:44:08+00:00,BrownResearchGT,#ATL,Sanitation
8,Take a look at our newest blog post to find out how you can support access clean #sanitation for everyone! #washrooms #toilets ,2020-01-31 16:24:00+00:00,vrsanicoltd,#sanitation #washrooms #toilets,Sanitation
9,"Sammaan Sanitation Conference opened by @ban_r of @gatesfoundation, keynote by Principal Secretary of @HUDDeptOdisha G. M. Vathanan, followed by researcher @Shamarbar sharing insights on design, maintenance, &amp; scalability of community toilets. Toolkit: https://projectsammaan.com/home/",2020-01-31 14:33:48+00:00,JPAL_SA,,Sanitation
10,E-TENDER FOR CONSTRUCTION OF TOILET BLOCK OF DUDHKUNDI – Publishing Organization: District Magistrate Office West Bengal State(s): West Bengal Sector(s): Water and Sanitation Sub Sector(s): ... https://tendercities.com/view/e-tender-for-construction-of-toilet-block-of-dudhkundi,2020-01-31 14:05:09+00:00,TenderCities,,Sanitation
11,"E-Tender for Repair and Renovation of Toilet Block of Dialysis Unit , Water and Sanitation – Publishing Organization: Public Works Department (West Bengal) State(s): West Beng... https://tendercities.com/view/e-tender-for-repair-and-renovation-of-toilet-block-of-dialysis-unit",2020-01-31 13:31:16+00:00,TenderCities,,Sanitation
12,"From 2001,550million people had no toilets including the Rural areas. 2day 500M people have sanitation&amp;drinking water facility.From60% we grew upto89%in a decadem about500M families have their toilets today. It was you the one's who pooped on our soil. You are one's stenching .",2020-01-31 12:57:47+00:00,the_dr_devil,,Sanitation
13,"They do so because either they do not have a toilet readily accessible or due to traditional cultural practices. The practice is common where sanitation infrastructure and services are not available. Even if toilets are available, behavior change efforts may still be needed...",2020-01-31 12:10:28+00:00,CFHInitiative,,Sanitation
