Unnamed: 0,Tweet,Date,Username,Hashtags,Category
0,@BMTC_BENGALURU thinks that all roads are belongs to them. Most of the traffic jam is created by them by parking the bus mid of the road. Bangalore traffic police and bmtc staff is memorable for ever..!!,2020-01-31 14:22:48+00:00,NaveenDamle,,Traffic
1,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,Traffic
2,"This road rage has become so common these days. Having said that, this kind of elitism of branding every bmtc driver as some kind of goonda also be condemned. These folks drive the buses for us day in and out in bangalore traffic when some us struggle to drive for an hour",2020-01-31 09:29:00+00:00,travelofindia,,Traffic
3,"These BMTC bus drivers don't follow basic road rules. Stop the bus in middle of the road, jump signals. Its all because they are not fined by Bangalore Traffic Police. They drive while talking on mobile and collecting fares. ",2020-01-31 08:38:03+00:00,cishan,,Traffic
4,And Electronic City and ORR and Sarjapur Road. They never heard of the word “planning” “traffic studies” “origin destination patterns”,2020-01-31 06:28:10+00:00,srinualavilli,,Traffic
5,"@MumbaiPolice @ThaneCityPolice @MumbaiMirror I am sure Mumbai must be striving hard this year to beat Bangalore in traffic chart. As tweeted earlier, as day passes we road users create records on travel time. One thing is for sure, common man's misery continues.",2020-01-31 02:36:24+00:00,Kumares20661954,,Traffic
6,"#Philippines - Bangalore and Manila world's worst cities for traffic As everyone knows, driving would be much more fun if there weren't so many cars on the road. Urban areas are bad for traffic but have you ever wondered where the worst ones are? The… https://news-guru-magazine.blogspot.com/2020/01/philippines-bangalore-and-manila-worlds.html",2020-01-31 01:31:05+00:00,SiamBestHotels,#Philippines,Traffic
7,Just by speeding up &opening cottonpet main road which is important link between north &amp; south Bangalore much traffic congestion can be eliminated.pls update status of this which is more than a year old.,2020-01-30 16:29:42+00:00,guru871961,,Traffic
8,Walk opposite 2 Vehicular Traffic as per article 20 of Convention on Road Traffic &amp; raise ur hand while crossing any road. In Bangalore Pedestrian space has been encroached for motor vehicles. Central Govt. replied Pedestrian not covered by Road Safety. my PIL WP 1256/2019 in SC ,2020-01-30 15:02:28+00:00,Jabalpursafety,,Traffic
9,"The auto fare between Majestic railway station and Lavelle road in Bangalore cost INR .90/-,while the return journey cost INR.120/-in evening traffic",2020-01-30 09:01:45+00:00,NAravindRajesh,,Traffic
10,"@BBMP_MAYOR Honourable First Citizen of Bangalore, Kindly have a view of Sarjapur Main Road where it is almost impossible to cross the road and is impossible for kids and adults and is unsafe. Digging on both sides, blockages in between, gross traffic violations. Please Help. ",2020-01-30 08:38:07+00:00,chikka2203,,Traffic
11,The High CONGESTION Road! Edinburgh is named worst UK city for traffic misery for THIRD year in row - while Bangalore is branded world's bumper-to-bumper capital via https://dailym.ai/ios,2020-01-30 08:30:03+00:00,27Tawnyowl,,Traffic
